,airline_name,date_of_journey,source,destination,departure_time,arrival_time,duration,total_stops,price
0,IndiGo,"Mon, 15 Nov",New Delhi,Chennai,20:30,23:20,2h 50m,2 Stops,"2,341"
1,SpiceJet,"Mon, 15 Nov",New Delhi,Chennai,18:25,21:10,2h 45m,1 Stop,"2,621"
2,SpiceJet,"Mon, 15 Nov",New Delhi,Chennai,06:15,09:10,2h 55m,1 Stop,"2,621"
3,Air India,"Mon, 15 Nov",New Delhi,Chennai,20:40,23:35,2h 55m,1 Stop,"2,658"
4,Vistara,"Mon, 15 Nov",New Delhi,Chennai,13:30,16:20,2h 50m,1 Stop,"2,715"
5,Vistara,"Mon, 15 Nov",New Delhi,Chennai,19:55,22:45,2h 50m,1 Stop,"2,715"
6,IndiGo,"Mon, 15 Nov",New Delhi,Chennai,12:45,15:40,2h 55m,1 Stop,"2,823"
7,Air India,"Mon, 15 Nov",New Delhi,Chennai,06:05,08:55,2h 50m,,"3,078"
8,Air India,"Mon, 15 Nov",New Delhi,Chennai,09:45,12:40,2h 55m,1 Stop,"3,078"
9,Vistara,"Mon, 15 Nov",New Delhi,Chennai,07:20,10:10,2h 50m,1 Stop,"3,152"
10,Air India,"Tue, 4 Jan",New Delhi,Hyderabad,09:45,11:55,2h 10m,1 Stop,"2,098"
11,Air India,"Tue, 4 Jan",New Delhi,Hyderabad,08:10,10:30,2h 20m,2 Stops,"2,098"
12,Air India,"Tue, 4 Jan",New Delhi,Hyderabad,21:10,23:35,2h 25m,1 Stop,"2,098"
13,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,11:35,13:50,2h 15m,1 Stop,"2,510"
14,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,07:00,09:20,2h 20m,1 Stop,"2,510"
15,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,08:40,11:00,2h 20m,,"2,510"
16,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,23:05,"01:20
+ 1 day",2h 15m,2 Stops,"2,720"
17,IndiGo,"Tue, 4 Jan",New Delhi,Hyderabad,20:45,23:10,2h 25m,,"2,720"
18,Air Asia,"Tue, 4 Jan",New Delhi,Hyderabad,16:15,20:25,4h 10m,,"3,120"
